Dynasty,Author,Title,Content,lable
Ming,平显,其二,北极奎章焕，南交使者归。雕题瞻礼乐，象齿贡京畿。听漏趋青琐，停骖解绣衣。上林春色好，官柳正依依。,5
WeiJin,刘琨,扶风歌（艳歌行）,南山石嵬嵬，松柏何离离。上枝拂青云，中心十数围。洛阳发中梁，松树窃自悲。斧锯截是松，松树东西摧。特作四轮车，载至洛阳宫。观者莫不欢，问是何山材。谁能刻镂此，公输与鲁班。被之用丹漆，薰用苏合香。本自南山松，今为宫殿梁。,0
Song,王志道,侨寄山居霍然几月凡见之于目闻之于耳者辄缀成绝句名之曰田园杂兴非敢比石湖聊以写一时闲适之趣云尔 其一,幽居无事属山家，闭却柴门日未斜。啼鸟一声惊梦觉，小窗闲坐听蜂衙。,3
Ming,方豪,鸳鸯湖,鸳鸯湖边落日明，荷花十里棹歌清。丈人自折碧筒饮，醉看秦塘海月生。,5
Ming,王褒,养蔬四首为汉府教授王先生作 其一,微雨朝来过，园蔬取次看。韭芽欣土暖，芥荚怯霜寒。畦理高低种，厨供旦夕飧。莫嫌藜藿舍，金玉试春盘。,5
Qing,方中发,将还山与叔兄小愚夜饮,今夜饮君酒，待晓还山去。执手殷勤订后期，惆怅连朝留不住。与君满酌莫推辞，世间万事非人为。举杯试问当头月，明日阴晴知不知。,6
Song,王真人,榴皮题壁 其一,东老回仙跨鹤归，同庵卜筑继其馀。自缘不睹榴皮字，想像祇园蔓草书。,3
WeiJin,韦昭,吴鼓吹曲十二曲 其一 炎精缺,炎精缺，汉道微。皇纲弛，政德违。众奸炽，民冈依。赫武烈，越龙飞。陟天衢，耀灵威。鸣雷鼓，抗电麾。抚乾衡，镇地机。厉虎旅，骋熊罴。发神听，吐英奇。张角破，边韩羁。宛颍平，南土绥。神武章，渥泽施。金声震，仁风驰。显高门，启皇基。统冈极，垂将来。,0
Qing,尹继善,西园小集后花下独坐有怀子才仍叠前韵 其一,幽栖岂是薄功名，厌说林深鸟不惊。白发时陪新弟子，青山也爱旧书生。承欢谁似饶其乐，舍肉还多见至情。料得冰楼无底事，横琴坐对月轮明。,6
WeiJin,潘尼,赠陇西太守张仲治诗①,二八由唐显，财以多士隆。群灵感韶运，理翮应翔风。张生拔幽华，苹蘩登二宫。未几振朱锦，剖符抚西戎。及子仍同僚，赠言贻尔躬。威刑有时用，唯德可令终。,0
Tang,李峤,酬（一作和）杜五弟晴朝独坐见赠,平明坐虚馆，旷望几悠哉。宿雾分空尽，朝光度隙来。影低藤架密，香动药阑开。未展山阳会，空留池上杯。,2
Tang,开成时儒,其二,鹿群相受岂能成，鸾凤终须万里征。何况故乡贫与贱，苏秦花锦事分明。,2
Qing,王炜,酬徐姊郑夫人,已知彤管寄情赊，金缕珊珊改绛纱。隐几尚传康伯母，下帷犹似谢公家。桃笙乍转湘波动，灌树初殷海燕斜。翡翠笔床空作赋，输君相赠有琼华。,6
Tang,吴豸之,阳春歌,帘低晓露湿，帘捲莺声急。欲起把箜篌，如凝䌽弦涩。孤眠愁不转，点泪声相及。净扫阶上花，风来更吹入。,2
WeiJin,湛方生,庭前植稻苗赞（《初学记》作孙苗叶赞）,茜茜嘉苗，离离阶侧。弱叶繁蔚，圆株疏植。清流津根，轻露濯色。,0
Yuan,王吉昌,绿头鸭,貌幽玄。混成法像无边。悟真常、灵明妙用，越骊珠、独耀深渊。炫真圣、穿山透壁，展威风、入地升天。变化多方，神通挥霍，一轮炳耀显孤圆。净洒洒、难握难把，朗朗湛如然。无为相、高低莫测，远近难诠。非空色、亦无二体，显本来、清净因缘。大千界、浑无挂碍，证方寸、拍塞坤乾。究竟圆通，不离不即，堂堂恢廓体翛然。括慧灼、天真至理，悟入奋威权。妙中妙、腾今跨古，无像功全。,4
Yuan,李思衍,天庆宫,紫盖星临北斗躔，金门客去几千年。蒙泉有味见福地，劫火离灰是洞天。尘外仙家山上屋，日边帆影海东船。飘飘云气蓬莱近，五彩飞鸾不用鞭。,4
Ming,毛先舒,秋色,秋色满吴岭，登高四望同。断虹垂木末，残雨过江东。细草还留碧，寒花也自红。昔人高卧处，应在白云中。,5
Tang,李深,其四,稽首期发蒙，吾师岂无说。安禅即方丈，演法皆寂灭。鸣磬雨花香，斋堂饭松屑。,2
Yuan,李廷臣,和书画舫联句韵,榑桑旭日红半壁，草色如天青满帘。入海雀群应化蛤，逐风龙唾或生盐。长云带水连三岛，落月和星转四檐。灵穴怪鳅潮捲尾，山中老兔颖濡尖。仙姬具饭青精细，庖吏储鲜异味厌。翠釜出驼行玉碗，绣帷熏麝启银奁。吹箫公子鸾凰语，击剑将军虎豹髯。郢雪飘飘诗总好，蒲萄滟滟酒频添。酣歌更上层楼顶，万顷波光上下黏。,4
Tang,僧契此,其三,万法何殊心何异，何劳更用寻经义。心王本自绝多知，智者只明无学地。,2
Ming,王之诰,罗汉洞,拾级寻幽处，苔沾屐齿香。露华侵径草，朝旭上扶桑。洞古苍虬合，灯残贝叶荒。焚香一冥坐，身意总相忘。,5
Ming,丁豫,过醴城时奉诏两广求贤作,奉使南来过醴城，春风得得马蹄轻。鸟飞绿树阴中去，人在白云堆里行。巫峡有山千嶂出，湘潭无雨百花明。行行不厌登临倦，欲振荆阳滞璞名。,5
Ming,王錂,刘泼帽,娘行不用多匆遽。料轻绡不远东西。作拂袖介小旦：好古怪。这分明是我小姐身上那春芜的香气生笑介：可知我与你小姐臭味相同哩。。看馀香遍染春衫袂作半露春芜介：看这香罗。其实可爱。。须好护持。敢使他轻遗坠。,5
Ming,王㒜,秋来久与立之不会辱诗见寄,客途连日阻相从，信是高踪未易逢。深院棋声常寂寂，曲阶花影自重重。才因分定生来拙，身为官閒老去慵。拟向良宵赊月色，清樽白下共移舼。,5
Yuan,文质,澹香亭,澹香亭前春可招，雪花千树开璚瑶。溶溶夜色照寒影，二月东风吹不消。昆山仙人天上客，烂醉花阴坐瑶席。仙姝采香云满衣，酒醒但觉春无迹。人生欢乐苦不多，百岁流光若掷梭。古来荣达已尘土，对此不饮将如何！,4
Tang,浩虚舟,木鸡赋（以致此无敌故能先鸣为韵）,惟昔有人。心至术精。得鸡之情。情可驯而无小无大。术既尽而不飞不鸣。对劲敌以自持。坚如挺植。登广场而莫顾。混若削成。初其教以自然。诱之不惧。希渐染而能化。将枯槁而是喻。质殊朴斲。用明不竞之由。状匪雕锼。盖取无情之故。然则饮啄必异。嬉游每殊。伫栖心而自若。期顾敌而如无。日就月将。功尽而稍同颠蘖。不震不悚。性成而渐若朽株。已而芥羽讵设。雕笼莫闭。卓然之志全变。兀若之姿已致。首圆胫直。轮桷之状俱呈。觜利距铦。枳枸之铓并利。是以纵逸情绝。端良气全。臆离披而踵附。眸眩曜而节穿。惊被文而锦翼蔚矣。迷搴木而花冠烂然。虚憍者怀不才之虞。安能自恃。贾勇者有攻坚之惧。莫敢争先。故能进异激昂。处同虚寂。郢工误起乎心匠。郈氏徒惊乎目击。澹然无挠。子綦之质方俦。确尔不回。周勃之强未敌。其喻斯在。其由可徵。驯致已忘乎力制。积习渐通乎性能。是则语南国者未足与议。斗东郊者无德而称。士有特立自持。端然不倚。块其形而与木无二。灰其心而顾鸡若是。彼静胜之深诚。冀一鸣而在此。,2
Qing,王熙,少楼冬月,向夕烟消大地平，海洋扶月上瑶京。山河影射千门静，城阙光涵太液清。霜静高旻流素籁，风微小阁敞新晴。邻钟欲动光初满，萧瑟还惊离别情。,6
Yuan,李祁,御赐恩荣宴,堂吏喧呼拥后先，䌽帘微动八音宣。圣恩汪濊儒臣集，天语丁宁宰相传。翠叶银幡高压帽，玉盘珍果谩堆筵。沾濡拜舞归来晚，马上题诗不记鞭。,4
Ming,王嗣经,其三,邸第高依尺五天，众中谁过李延年。移围夜色娇罗绮，徙队春声散管弦。,5
Yuan,丁鹤年,涵清轩（为慈溪懋上人作）,止水才盈掬，涵空有底宽。玉壶秋影净，金镜晓来寒。落月斜沈白，流霞浅浴丹。上人方宴坐，应向观中看。,4
Song,王伯范,题梅坛,朝喑仗马夕笺天，汉事于今已几年。一片孤忠应尚在，定须耿耿斗牛边。,3
Yuan,何大虚,梅,奇植遗山泽，英姿照古今。醲熏贯三极，贞色照平林。年运神孤王，阴凝力独任。太清涵妙影，元气托芳心。薄雪村村淡，轻烟涧涧阴。苍茫何见晚，邂逅却愁深。南纪开春事，幽情寄碧岑。自怜馀短策，相对发孤斟。,4
Yuan,何中,其二,栖鸟黄昏后，归牛苍莽间。水明疑有月，烟澹欲无山。幽谷元非隐，高人自喜閒。徘徊不能去，莎碧耿荒湾。,4
Ming,王泽,题十八学士图,晋阳天人赤龙子，按剑叱咤风云起。下嫌九土足腥秽，欲将乾坤翻海洗。妖蟆射杀落九重，日月再启光曈曈。十八文星烂奎壁，玉堂高开连紫宫。天生奇才真羽翼，南金大珠何足惜。凤凰笙管宴彤庭，日听四海歌太平。图形更诏丹青手，不独云台画将星。君不见嬴家祖龙坑学士，山下看瓜同日死。阿房壁土未曾乾，草绿宫垣哭秋鬼。,5
Ming,王济,宫词三首 其一,驾幸长春二鼓时，提灯驰报疾如飞。上房供奉忙多少，才拭龙床布地衣。,5
Ming,方维仪,忆金陵诸姊,昨岁长千里，今宵寓楚城。汉宫弹一曲，幕府获千兵。花发留春意，人伤远别情。可怜枝上月，长在子规声。,5
Ming,释大持,秦驻山,山灵曾受始皇鞭，松至而今不仆颠。天为涛吞无北限，地因沙涌有东边。下滩黑剩先秦石，对岸青高旧越烟。非此云牙撑海角，稻畦或恐作盐田。,5
Yuan,吴昌龄,黄钟尾,我劝你好将息这不存不济千金体。再休想那无影无形百媚姿。自去年到今日。曾有甚为盟记。只管𥚃苦思忆。直等得佛出世。可不的乾着你。这相思无尽极。倒不如早收拾。将一段云雨幽期。都付与高唐梦儿𥚃下。,4
Ming,叶槩,龙冈深雨为刑部员外莆田黄常祖题,南望闽关道路长，一抔黄壤在龙冈。三年洒扫谁供事，千里驱驰祇自伤。荆棘丛深春雨后，楸梧树老臈前霜。锦衣得遂归荣愿，陇上焚黄倍有光。,5
Tang,李皓,奉和圣制送张说上集贤学士赐宴（赋得催字）,偃武尧风接，崇文汉道恢。集贤更内殿，清选自中台。佐命留侯业，词华博物才。天厨千品降，御酒百壶催。鹓鹭方成列，神仙喜暂陪。复欣同拜首，叨此颂良哉。,2
Tang,李适,饯许州宋司马赴任,昔吾游箕山，朅来涉颍水。复有许由庙，迢迢白云里。闻君佐繁昌，临风怅怀此。傥到平舆泉，寄谢干将里。,2
Yuan,李谷,宿济物寺。次壁上韵,先王有遗泽，济物榜兹亭。月出乾坤白，云收岛屿青。闲苔封古甃，老柏荫中庭。榒笔还须阁，天悭未易形。,4
Yuan,山主,临江仙,因向山前坟畔过，途荒荆棘仍沟。闲花野草遣人愁。恨烟林下，悄悄见骷髅。难辨僧俗贫与富，未知何代王侯。口中钱被牧童掫。英雄那畔，仰面懒抬头。,4
Qing,尹继善,次孙端人韵送别王次山钟仲恒,金汁江头雨未收，行人欲别意还留。离觞共劝他乡酒，落叶初飞满路秋。一顾空群传冀北，万山何处忆蛮州。知心自是难分手，况值天涯久宦游。,6
Song,丘葵,与汝翔晚行,偶值忘形友，田间步晚晴。四围山木合，一片夕阳明。倚杖数归翮，隔溪闻唤声。行来僧寺歇，又得问无生。,3
Ming,王逢年,梅花落,朔风凄凄洮水阴，羌声半咽清夜沉。征人陇头寄春心，月寒落尽关山深。少妇相思搅离色，梦惊鸡塞秦云白。,5
NanBei,顾野王,饯友之绥安诗,谷风扬暖律，扶旭开馀霭。兰牙被平皋，冰澌泮微濑。悟彼芳岁新，惬此赏心会。丝竹邯郸倡，朋游邺中盖。贡橘伟含滋，仙鲻妙飞鲙。崚嶒眺广岳，浩溔穷溟海。众宾悦礼遇，远俗怀仙爱。操翰本非工，无讥比曹郐。,1
Yuan,于石,次韵徐月卿秋兴,西风渺何许，安处即家乡。社舞邻呼饮，时思礼荐尝。孤灯茅屋雨，落叶石桥霜。鸡黍当年约，谁能继范张。,4
Ming,王㒜,暇日过天宁东院,棋局诗囊在处携，投閒几度过招提。凉分半榻竹风细，香散一帘花雨迷。白石庵中曾读易，碧纱笼外更留题。日斜又别高僧去，笑指前溪作虎溪。,5
Ming,王英,奇和杨之宜春早侍宴朝回之作,紫微天近九门开，玉漏声残禁鼓催。五色祥云依黼座，九重春色照金杯。轻风微逐鸣珂散，细柳低迎仗马回。一曲《阳春》谁和得，凤凰池上待君来。,5
Qing,王韵梅,行香子,闲拂冰弦，闷拂云笺。总无聊、狼藉愁年。黄昏小坐，白日闲眠。叹意阑珊，情萧索，恨缠绵。叶落阶前，烛剪窗边。较心愁、秋水长天。露凝鸳瓦，风扣鱼环。正桂飘香，人憔悴，月团圆。,6
Yuan,李寿卿,南吕一枝花,扑碌碌撞开门外军。不刺刺杀出这城边路。紧防他弦上箭。又则怕失却掌中珠。仔细踌躇。俺父兄多身故。他又把咱家一命图。泪沾洒四野征尘气吁成半天毒雾。,4
Ming,支如玉,酷相思,新柳月痕初坠，恨春鸟、催人起。想盟言、花片随波逝，欲住也、留无计，欲去也、留无计。印旧添新衣上泪，左右拚憔悴。问九峰、桃李曾开未？人远也，书难寄，春尽也，愁难寄。,5
Qing,王时翔,浣溪沙三十八首 其一,消减惟应鹊镜知。压肩浓绿鬓鬟欹。病容扶起淡黄时。碧院无人春寂寂，画楼有燕雨丝丝。药烟影里过相思。,6
Qing,孔宪彝,张诗舲方伯以伏波铜鼓送焦山寺中作诗纪事依韵和之,宝气夜上贯东斗，蛟龙拜舞江声吼。无人知是铜鼓来，但讶虹光满户牖。此鼓流传自峤南，伏波将军手亲叩。斑斓古色青且苍，神物犹存千载后。张公得之桂岭西，万里携归达江口。草堂藏弆多吉金，独此神奇宝永久。兴至摩挲日千百，诗成落笔驱蛟虬。忽思位置焦山巅，径买扁舟载之走。雁堂有鼎属定陶，诸葛鼓左此在右。昔染蛮云瘴雨寒，今依佛火禅镫黝。词坛歌咏诗人豪，寺门镇压老僧守。千秋雅举传名山，真州延安同不朽。,6
WeiJin,棘腆,赠石季伦诗,深蒙君子眷，雅顾出群俗。受宝取诸怀，所赠非珠玉。凡我二三子，执手携玉腕。嘉言从所好，企予结云汉。望风整轻翮，因虚举双翰。朝游情渠侧，日夕登高馆。,0
Qing,文廷式,其四,昔年客京洛，未敢谒膺门。乍枉奇书赠，兼蒙国士论。大云俄辍景，旭日惨将昏。下马他年拜，凭何慰九原。,6
Ming,方弘静,再游冠岩,缥缈藏云壑，霏微浸玉潭。浑沦疑乍剖，山泽适相含。久坐龙应起，频游鹤可骖。不知身万里，便欲挂朝簪。,5
Yuan,孟昉,其四 四月,依微香雨青氛，金塘闲水生蘋。数点残芳堕粉，绿莎轻衬，月明空照黄昏。,4
Qing,王又曾,湘客招同卢敬甫郑镜渟钱萚石探春郊外翼日赴招则湘客他适矣因偕三君出西郭游姚园过真如寺遂至项尚书墓下归途醵饮村店敬甫赋古诗五章余为成五律八首 其一,五色社公雨，上番花信风。春衣单袷换，词客两三同。巷曲鹅黄映，桥回鸭绿通。言过习池饮，好去拉山翁。,6
Ming,王世贞,游白云观遇钟了髻,行散到古院，翛然遇真师。落日澹眉宇，清霜疏鬓丝。饭温初煮石，丹冷旧封泥。嗒坐浑无语，蝉声秋树枝。,5
Song,王观,游侠曲,雪拥燕南道，酒阑中夜行。千里不见雠，怒须如立钉。出门气吹雾，南山鸡未啼。腰间解下聂政刀，袖中掷去朱亥椎，冷笑邯郸乳口儿。,3
Ming,于子仁,海门赋,海门无风波浪宽，海气溟溟蛟龙蟠。六鳌戴山不敢动，平地现出玻璃盘。是时神仙怀大丹，携筇直谒天门关。君心遥遥我心切，脱身幸不生风翰。开元太平民治安，上方神游凌广寒。天风环佩来珊珊，我今追随谁可攀。便当握手凌云端，君骑长鲸我骑鹤，一声长啸非人间。,5
WeiJin,张载,诗,白日随天回，皦皦圆如规。踊跃旸谷中，上登扶桑枝。,0
Tang,还阳子,师诲而饯之,松柏坚且贞，涧水流复清。勿久尘寰间，是非污耳聆。,2
Qing,六十七,其四,节逾大雪曾无雪，日暖风恬景物佳。草际有时犹舞蝶，池边几处尚鸣蛙。牛椆小汛迎旌旆，虎尾深溪蹴浪花。马上频频诫呵护，莫惊番社野人家。,6
NanBei,王秀之,卧疾叙意诗,贞悔不少期，福极固难豫。疾药虽一途，遂以千百虑。景仄念徂龄，带缓每危曙。循躬既已兹，况复岁将暮。层冰日夜多，飞云密如雾。归鸿互断绝，宿鸟莫能去。辍我丘中琴，良由一嗟故。隐沦迹有违，宰官功未树。何用揽余情，恨恨此故路。岂言劳者歌，且曰幽人赋。,1
Tang,何兆,句,芙蓉十二池心漏，薝卜三千灌顶香。,2
Qing,王德元,鲫潭霁月,云脚初收月正悬，寒潭一碧浸长天。珠光荡漾清波里，稳住骊龙此夜眠。,6
Yuan,杜本,送赵伯常归扬州,往年初记抵京师，正类机云入洛时。未说鳌头分赤管，先传马首控青丝。琼楼旧醉家家酒，金刹新题处处诗。此日扬州归去路，锦衣光采照城池。,4
Qing,尹鑴,清心楼。次李牧隐韵,贤豪高咏冠楼端，休道清心阙署颜。一雨沧江今宿客，浮天积翠旧龙山。当年鹤返秋天上，千载骊庄白水间。每愧昔人平地语，登临半日赏清閒。,6
Ming,王养端,都台纪事四首 其一,九五黄宫八百姬，臣工拜舞贺昌期。春回灵囿时颁历，香蔼瑶坛夜受釐。河渭吐吞秦日月，岱华扫荡汉旌旗。清平乐事何由识，柳暗花明出锁迟。,5
Ming,王鸣雷,夜投山寺宿,残钟山半寺，僧在隔溪回。问我何方客，能为清夜来。坐禅移漏转，示法举灯开。报道石桥鹿，月深眠讲台。,5
Yuan,朱清,严峙钓台,谁著羊裘探故人，客星炯炯照天文。严陵矶下桐江水，流到东山一色清。,4
Qing,王誉昌,鹦鹉词,翻为多情损性灵，断魂还认陇山青。何因得证摩尼塔，一卷笼中《般若经》。,6
Ming,方郑作,方卧南窗舍弟古民率尔相访入门不呼遽去书以纪事,令弟兴狂携竹杖，老兄思苦卧藤床。草堂空踏青苔破，萝径难消白日长。应惜萤窗劳笔砚，恐惊蚁穴梦侯王。入门不语悠然去，蝉噪槐阴下夕阳。,5
Ming,王应斗,读贺太保及三昧和尚述水神冯元帅显迹受戒文二首（有序补遗） 其一,昔闻金马祀，今见水龙居。庙显神人迹，僧藏相国书。大都臣水伯，不使乱江鱼。天地一灵物，畴能付子虚。,5
Ming,王翊,送赵文善之湘阴守,前代王孙夙相家，于今出牧向长沙。神龙正喜腾霄汉，天马宁容驻渥洼。江水流澌初阁棹，岳云点雪又催衙。好怀忍向高人别，折赠寒梅驿路花。,5
Qing,九岩中达,题佚,初见清容先眼青，远劳书信泛重溟。德光遍处无高下，天上人间曰月星。,6
Ming,王绂,送高员外省亲归毗陵,握手才相见，论怀未忍违。我方游帝里，君复访庭闱。晓日辞丹陛，春风戏䌽衣。应知到家后，欲别更依依。,5
Tang,曲信陵,句,台笠冒山雨，渚田耕荇花。,2
Yuan,汪铢,挽罗一舟（原注任武进教谕）,怡堂当日宴，谈笑忆惊筵。坐失同庚友，那逢在巳年。文兴人巳老，武进士无缘。赖有河东凤，斯文定永传。,4
Yuan,僧克新,题杭上人芭蕉,山寺春深积雨馀，坐看花影上阶除。新诗吟罢无人到，只向芭蕉叶上书。,4
Song,窃杯女子,鹧鸪天,灯火楼台处处新。笑携郎手御街行。回头忽听传呼急，不觉鸳鸯两处分。天表近，帝恩荣。琼浆饮罢脸生春。归来恐被儿夫怪，愿赐金杯作证明。,3
Ming,王子一,那吒令,朝廷内怨煞。荐贤的叔牙。林泉下傲煞。操琴的伯牙。磻溪上老煞。钓鱼的子牙。人情似啖马肝。世味如嚼蜂蜡。叹纷纷尘事抟沙。,5
Ming,于慎行,雨雪,阴山征战地，雨雪夜霏霏。冻缩胡儿马，寒凝汉将衣。范恭疏勒返，苏武漠南归。颇怪关门柳，春前作絮飞。,5
Tang,李嘉祐,送王正字山寺读书,欲究先儒教，还过支遁居。山阶闲听法，竹径独看书。向日荷新卷，迎秋柳半疏。风流有佳句，不似带经锄。,2
Song,王琪,清辉殿观唐明皇山水石字歌（《宋文鉴》下有应制二字）,皇家四叶恢圣功，天临日烛清华戎。汉条静治洽柔教，老心稽古开神聪。有唐英主称好文，仙毫洒落驱风云。壮哉山水有奇字，焕乎八法存翠珉。自从弃置咸阳道，藓驳烟滋委宫草。天开神赞会休辰，甄收再作皇居宝。如何沦弃三百春，迎逢睿鉴来紫宸。奎钩粲粲光华动，群玉森森气象新。丹籞春妍瑞霭深，文梁藻栋结芳林。鸿翔凤翥径方丈，杯流泉涌蒙亲临。鲰臣荣幸从金舆，钩婉魂惊拭目初。多惭揽笔非清藻，唯庆千龄际帝图。,3
Qing,文昭,其二,时序倏已变，秋岚压接䍦。荒烟迷旧垒，古木暗丛祠。摇落中年兴，渔樵出世思。邮亭渺何许，树杪见青旗。,6
NanBei,江智渊,宣贵妃挽歌,袿襚来尘寂，筵俎竟虚存。云松方霭露，风草已声原。,1
Ming,王秋英,归楚留别梦云,两年欢会梦魂中，聚散人间似转蓬。岁月无情催去燕，关河有信寄来鸿。剑沉延浦光终合，瑟鼓湘灵调自工。他日扁舟寻旧约，夕阳疏影楚云东。,5
Ming,王鏊,其三,小圃今何有，犹闻白雪歌。未论金作谷，聊诧玉为柯。问字人来少，窥檐鸟下多。雪中吾欲去，兴尽奈渠何。,5
Qing,方彦珍,临江仙 看芍药归舟即事,瑞芍亭前红药。丰神嫣媚难描。翻阶凝露不胜娇。香宜罂粟妒，色并鼠姑饶。尤爱魄全明月，晶莹光彻层宵。锦灯千盏唤虹桥。邻舟度新曲，檀板杂笙箫。,6
NanBei,沈满愿,咏步摇花诗,珠华萦翡翠，实叶间金琼。剪葆不似制，为花如自生。低枝拂绣领，微步动瑶瑛。但令云髻插，蛾眉本易成。,1
Qing,殳庆源,元夕寄戴比部金溪先生,郎官芋食最宜男，元夜他乡旧俗谙。大有吉祥欣卜茧，尚余风味互传柑。一天春气银蟾丽，百道镫光火凤含。忽忆去年今日事，归帆初卸酒初酣。,6
Ming,王氏（衡女）,䌽燕二首 其一,方寸明光锦，闺中剪缀工。不须春社到，安坐粉香丛。,5
Ming,叶见泰,古诗赠方希直,吾友方济宁，其人世希生。有如炎燉之雪，曙天之星。平生特立不徇俗，穷年矻矻，惟究心乎羲文周孔之遗经。一旦起作郡，卓然为群黎之怙恃，列牧之仪刑。九原长往不可作，使人思之泫然双涕零。我言济宁今不死，济宁有子字希直，外焉才华已绝世，内焉持敬恒惺惺。往年我谒宋太史，见之座右爱其风。神秀发目光，如月双眉青。太史文章擅中土，东播逾若木，西流入麋泠。每称希直禀间气，旁驰余子犹以清渭临浊泾。太史犹巨钟，而我犹寸莛。我诵芜陋辞，一一为我侧耳听。只今远行不可觌，送入樊笼相过使我洒泪如醉醒。握手尘市中，顾影两蛉。雄文细字塞巨帙，咄哉著述能尔馨。振袂快读不可了，雅辞宏论开心扃。其显遏云汉，其幽通窈冥。赡如戈甲积晋库，奇如盘鼎镌商铭。丽如勾芒青春布花卉，壮如隆丰白日驱雷霆。千流万派怒奔放，终然帖帖趋东溟。顾我敛退余，守口动如蝇。今日得子文，耽诵不暂停。有如赤日途，解渴得楚萍。又如藜藿肠，忽咀五侯鲭。琐琐彼何人，乃工月露形。划然周廷睹巨燎，光影不复窥微萤。嗟哉希直执经太史门，闻礼济宁庭。以文比行行益峻，持以用世不啻如养生之谷粟，济疾之参苓。胡乃避处东海裔，坐阅晦朔雕荛蓂。我欲其为不朽计，铓锷淬砺重发硎。至音讵能秘，锡鸾答和铃。直须上追虞书媲周雅，岂肯下比秦誓方鲁駉。于以作《春秋》之羽翼，为《礼》、《乐》之藩屏。嗟哉载道器，孰谓在世犹刍灵。上帝阅世悯斯文，宁复下取敕六丁。水为江汉星作斗，镌之金石垂千龄。,5
Song,王曾,其五,欲谢君恩却无语，心前笑指赤灵符。,3
Song,僧子兰,太平坊寻裴郎中故宅,不语凄凉无限情，荒阶行尽又重行。昔年住此何人在，满地槐花秋草生。,3
Tang,延禅师,偈,才到洪山便跺跟，四方八面不言论。他家自有眠云志，芦管横吹宇宙喧。,2
WeiJin,湛方生,帆（帆扶泛切。）,彭蠡纪三江，庐岳主众阜。白沙净川路，青松蔚岩首。此水何时流，此山何时有。人运互推迁，兹器独长久。悠悠宇宙中，古今迭先后。,0
Song,丁竦,望州亭（熙宁四年）鼓山铭,鼓屴崱，峰顶特。穷岛夷，頫封域。屏闽东，拱辰北。岁辛亥，帝司赤。竦绅烈，从峭陟。搴若华，揖瑶极。呵蜚霆，蹴鳌脊。披霄根，殚目力。高者仰，深必惕。谨其至，惟古则。,3
Ming,王夫之,夏夜,裛露青林合，微凉生未央。太清平野阔，薄雾远山长。南树惊乌鹊，双星忆凤凰。吹来何处笛，急调欲清商。,5
Yuan,王玠,沁园春 全真家风,不恋功名，不求富贵，不惹闲非。盖一间茅屋，依山傍水，甘贫守道，静掩柴扉。读会丹经，烧残宝篆，终日逍遥任自为。真堪悦，遇饥来吃饭，冷即穿衣。个中消息谁知。自里面惺惺外若痴。且藏锋挫锐，先人后己，和光混俗，岂辨高低。处世随缘，乐天知命，白雪壶中配坎离。时来到，与十洲仙子，同驾云归。,4
Ming,王虞凤,春闺词,融和天气喜初晴，为爱簪花却放针。玉枕梦回人寂寂，瑶琴挥罢院沈沈。绿鸳戏水穿荷影，紫燕衔泥织柳阴。昼静金炉香欲尽，推窗满地落红深。,5
Yuan,李浩,渡巢湖,浩淼连天际，游人纵远眸。青山云外小，赤日水中流。白发蒹葭老，功名萍梗浮。扁舟如一叶，载得许多愁。,4
Yuan,丁鹤年,寄乡亲济阳公①,身远乡情重，途穷客病深。参苓频在眼，桑梓最关心。居简便夷俗，含凄效越吟。自从遭丧乱，辛苦到如今。,4
Yuan,尹志平,凤栖梧,世事无涯何日了。争似忘机，学我归山早。山下林间常独笑。人心未悟谁能到。终日忘言人悄悄。暮去朝来，更没闲烦恼。惜取真阳身内宝。不须服饵容颜好。,4
Ming,王建忠,其二,柏府曾沾柱下霜，何缘画省谬为郎。临岐欲奏巴人曲，笑指南山晚正芳。,5
Yuan,无名氏,脩竹,脩竹深深处，人间俗虑消。时将碧玉调，寄与白云谣。雪乳临风瀹，冰花对佛烧。思君不可见，乘兴动兰桡。,4
Qing,王继谷,感知一首酬李㤅伯先生,乘槎欲访三神山，蓬莱咫尺风引还。炼石五色亦何有，谁信娲皇补天手。山林钟鼎两不成，何如独坐援孤琴。醉折幽兰弹古调，空山寂寞无知音。昨者别兄偶弄指，天风海涛入焦尾。余音袅袅千里闻，谁识天涯有钟子。先生当世推经神，主持坛坫三十春。忽听巴音和白雪，喜舞奚翅登龙门。中散许传《广陵散》，一洗俗耳筝琶新。瓦釜雷鸣奚足论，得一知己死何恨。一弹再鼓忘形骸，孤月寥天印方寸。,6
Qing,王鸣雷,题薄涧寺,古寺僧多别，夕阳当寺门。凿泉通涧底，洗石露云根。鹤老知天事，松孤认地源。菖蒲五月剪，分施近城村。,6
NanBei,刘绘,咏博山香炉诗,参差郁佳丽，合沓纷可怜。蔽亏千种树，出没万重山。上镂秦王子，驾鹤乘紫烟。下刻蟠龙势，矫首半衔莲。旁为伊水丽，芝盖出岩间。复有汉游女，拾羽弄馀妍。荣色何杂揉，缛绣更相鲜。麇麚或腾倚，林薄杳芊■。掩华终不发，含薰未肯然。风生玉阶树，露湛曲池莲。寒虫悲夜室，秋云没晓天。,1
Qing,孔祥淑,汉江舟中,荆门三峡尽，万里送行舟。帆急山俱动，江平水不流。柳舒桃叶渡，花隐夕阳楼。回首碧云暮，开尊对月浮。,6
